IT00AK35-3005-C1;⚠️ Kuvakaappaus liitteenä
IT00AK35-3005-C1;✅ Sivusto toimii
IT00AK35-3005-C1;✅ Validointi toimii kaikissa nimessä ja esittelyssä reaaliaikaisesti
IT00AK35-3005-C1;✅ Nimi ja esittely vapautuvat määritellyin validointiehdoin
IT00AK35-3005-C1;✅ Validit nimi ja esittely vapauttavat Create-painikkeen
IT00AK35-3005-C1;✅ Palvelimelle lähetetään merkityksellisiä arvoja (selaimen konsoli)
IT00AK35-3005-C1;❌ Sivusto ei toimi
IT00AK35-3005-C1;❌ Validointi ei ole reaaliaikaista
IT00AK35-3005-C1;❌ Resurssi vaati muutakin kuin nimen ja esittelyn toimiakseen
IT00AK35-3005-C1;❌ Create-painike ei vapaudu (ei voi lähettää tietoja)
IT00AK35-3005-C1;❌ Painikkeiden toiminta epäloogista (esim. kaikki käytettävissä)
IT00AK35-3005-C1;❌ Resurssin nimi sallii muita kuin 5-30 merkkiä + numeroita + välilyöntejä
IT00AK35-3005-C1;❌ Resurssin esittely sallii muita kuin 10-50 merkkiä + numeroita + välilyöntejä
IT00AK35-3005-C1;❌ Saatavuuden kanssa ongelmia (esim. ei toimi, arvoa ei lähetetä)
IT00AK35-3005-C1;❌ Hinta vaatii arvon
IT00AK35-3005-C1;❌ Palvelimelle ei lähetetä mitään (selaimen konsoli)
IT00AK35-3005-C1;❌ Tyhjiä/vääriä arvoja lähetetään palvelimelle (selaimen konsoli)
IT00AL12-3005-C1;⚠️ Screenshot attached
IT00AL12-3005-C1;✅ The page works
IT00AL12-3005-C1;✅ Validation works in real time for both the name and the description
IT00AL12-3005-C1;✅ The name and description are enabled according to the defined validation rules
IT00AL12-3005-C1;✅ A valid name and description enable the Create button
IT00AL12-3005-C1;✅ Meaningful values are sent to the server (browser console)
IT00AL12-3005-C1;❌ The page does not work
IT00AL12-3005-C1;❌ Validation is not real-time
IT00AL12-3005-C1;❌ The resource requires more than just a name and description to function
IT00AL12-3005-C1;❌ Create button won't release (cannot send data)
IT00AL12-3005-C1;❌ Button behavior is illogical (e.g. all buttons enabled)
IT00AL12-3005-C1;❌ The resource name allows characters other than 5–30 characters + numbers + spaces
IT00AL12-3005-C1;❌ The resource description allows characters other than 10–50 characters + numbers + spaces
IT00AL12-3005-C1;❌ Issues with availability (e.g. does not work, value not sent)
IT00AL12-3005-C1;❌ Price requires a value
IT00AL12-3005-C1;❌ Nothing is sent to the server (browser console)
IT00AL12-3005-C1;❌ Empty/invalid values are sent to the server (browser console)
IT00AK35-3005-D1;⚠️ Kuvakaappaus liitteenä
IT00AK35-3005-D1;✅ Sivusto toimii
IT00AK35-3005-D1;✅ Validointi toimii kaikissa inputeissa
IT00AK35-3005-D1;✅ Selaimen konsolissa lokit oikein
IT00AK35-3005-D1;✅ Selaimen alertin tiedot oikein
IT00AK35-3005-D1;✅ Palvelimen konsolissa lokit oikein
IT00AK35-3005-D1;❌ Sivusto ei toimi
IT00AK35-3005-D1;❌ Painikkeiden toiminta epäloogista (esim. kaikki käytettävissä)
IT00AK35-3005-D1;❌ Ongelmia resurssin nimen kanssa (ei toimi/sallii vääriä merkkejä/pituuksia)
IT00AK35-3005-D1;❌ Ongelmia resurssin esittelyn kanssa (ei toimi/sallii vääriä merkkejä/pituuksia)
IT00AK35-3005-D1;❌ Ongelmia resurssin saatavuuden kanssa (ei oletuksena validoitu)
IT00AK35-3005-D1;❌ Ongelmia resurssin hinnan kanssa (ei oletuksena validoitu)
IT00AK35-3005-D1;❌ Ongelmia resurssin hinnan yksikön kanssa (ei oletuksena validoitu)
IT00AK35-3005-D1;❌ Selaimen konsolissa ei vaadittuja lokitietoja 
IT00AK35-3005-D1;❌ Selaimen alertissa ei vaadittuja lokitietoja 
IT00AK35-3005-D1;❌ Palvelimen konsolissa ei vaadittuja lokitietoja 
IT00AL12-3005-D1;⚠️ Screenshot attached
IT00AL12-3005-D1;✅ The site works
IT00AL12-3005-D1;✅ Validation works for all inputs
IT00AL12-3005-D1;✅ Logs in the browser console are correct
IT00AL12-3005-D1;✅ Information in the browser alert is correct
IT00AL12-3005-D1;✅ Logs in the server console are correct
IT00AL12-3005-D1;❌ The site does not work
IT00AL12-3005-D1;❌ Buttons do not work logically (e.g. all available)
IT00AL12-3005-D1;❌ Issues with the resource name (does not work / allows invalid characters or lengths)
IT00AL12-3005-D1;❌ Issues with the resource description (does not work / allows invalid characters or lengths)
IT00AL12-3005-D1;❌ Issues with resource availability (not validated by default)
IT00AL12-3005-D1;❌ Issues with the resource price (not validated by default)
IT00AL12-3005-D1;❌ Issues with the resource price unit (not validated by default)
IT00AL12-3005-D1;❌ Required log information missing in the browser console
IT00AL12-3005-D1;❌ Required log information missing in the browser alert
IT00AL12-3005-D1;❌ Required log information missing in the server console
IT00AK35-3005-E1;⚠️ Kuvakaappaus liitteenä
IT00AK35-3005-E1;✅ Sivusto toimii
IT00AK35-3005-E1;✅ Resurssien tallentaminen onnistuu
IT00AK35-3005-E1;✅ Tietokannassa validia sisältöä
IT00AK35-3005-E1;✅ Asias- ja palvelinpuolen validointisäännöt ovat yhtenäiset
IT00AK35-3005-E1;❌ Sivusto ei toimi
IT00AK35-3005-E1;❌ Resurssien tallentaminen ei onnistu
IT00AK35-3005-E1;❌ Tietokannassa epäselvää sisältöä
